Do you agree to participate in this research study?,1. Where are you located? ,2. What is your current role within the IT industry or IT service desk?,3. How many years of experience do you have in IT industry?,4. What industry does your organization operate in?,5. What is the size of your organization?,7. Does your IT service desk currently use any AI technologies? ,"9. If yes, which AI technologies are in use? (select all that apply)","11. How would you rate your organization's readiness in terms of technical, cultural and strategic levels for AI implementation?",12. How often does your organization use AI technologies in daily basis ,13. To what extent do you agree that adopting AI technologies in IT industry has improved our ability to proactively identify and resolve IT issues before it impacts end-users?,14. How concerned are you about the potential for AI technologies to replace human jobs within ITSM or  IT industry? ,16. Which of the following factors does your organization possess to support AI adoption? (Select all that apply),18.What are the major challenges you think your organization faces in adopting AI technologies? (Select all that apply)  ,20. What are the perceived benefits of AI technologies in IT service desk? (Select all that apply),"22. In your opinion, what are the challenges that might encounter while using AI technologies in IT service desk? (Select all that apply)  ",24. Does your organization plan to expand the use of AI in the IT service desk in the next 12 months?  ,25. What recommendations would you give to organizations considering AI adoption in their IT service desks or IT Industry in general?,21. What possible effects do you think AI could have on the level of support your IT service desk offers?,"6. How familiar are you with AI technologies (such as chatbots, predictive analytics, and automated incident routing) that can be integrated into IT service desks?  ","8. If no, what might be the timeframe to consider adopting AI in ITSM?",23. What kind of change management strategies do you think are necessary for a smooth transition to AI in your IT service desk?,10. Which of the following best describes your organization’s current readiness for adopting AI technologies in your IT service desk?  ,15. Explain why do you think or do you not think that AI is a threat to human jobs?,"17. For the above question, how do you think your selected options are effective? ",19. Explain why those challenges are occurring and how can the organization overcome it in your opinion?
"Yes, I agree to participate.",India,.net developer,5-10 years,Utilities,Very Large (1001+ employees),Maybe,Chatbots/Virtual Assistants,2,2,2,Slightly Concerned,"Reliable IT infrastructure, Supportive organizational culture, Effective change management strategies",High implementation costs,24/7 availability of support,Technical issues or limitations,No,NA,Neutral,Somewhat Familiar,Within the next year,"Phased implementation approach, Continuous feedback and adjustment mechanisms",We are aware of AI but have not started planning.,"We can't surely comment if AI would be a threat, some countries have already limited its use and many would join the same. ",AI would definitely be helpful for repetitive activities and error free setups.,"Though they might offer it at a cheap price now, system upgrades other unknown things might incur more costs in future"
"Yes, I agree to participate.",India,Software Developer,5-10 years,Service sector,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Automated Incident Routing, Natural Language Processing (NLP)",5,2,5,Moderately Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources, Strong leadership support, Effective change management strategies","Lack of technical expertise, Integration with existing systems","Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","Technical issues or limitations, Training and development needs, Maintaining AI systems",Maybe,NA,Highly Positive,Very Unfamiliar,Within the next 6 months,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,Because it automates the work that humans do,NA,NA
"Yes, I agree to participate.",UK,DevSecOps Engineer,5-10 years,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics",3,3,4,Moderately Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources, Strong leadership support","Data privacy and security concerns, Lack of clear strategy or vision","Increased efficiency and productivity, Enhanced user experience","User acceptance and satisfaction, Data management and quality",Yes,Train on more data,Positive,Somewhat Familiar,Within the next 6 months,"Training and skill development programs, Continuous feedback and adjustment mechanisms",We are in the planning stages and are gathering information.,No,Good,Working hard to get hold of technology 
"Yes, I agree to participate.",India,Quality Analyst ,1-3 years,Technology,Very Large (1001+ employees),Maybe,"Chatbots/Virtual Assistants, Predictive Analytics, Natural Language Processing (NLP)",3,4,4,Moderately Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources, Strong leadership support, Effective change management strategies",Data privacy and security concerns,"Cost savings, 24/7 availability of support, Reduced workload for IT staff",User acceptance and satisfaction,Maybe,It can be a help for the organisation. ,Positive,Somewhat Familiar,Within the next year,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We are in the planning stages and are gathering information.,It can replace the normal non technical jobs people do and might only give the jobs with possibilities for technical purpose only in future. What will happen to people with menial jobs. ,Yes. Very much effective. ,I don't completely know. 
"Yes, I agree to participate.",India,Devoloper,1-3 years,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Automated Incident Routing, Natural Language Processing (NLP)",4,4,4,Moderately Concerned,"Skilled workforce, Supportive organizational culture, Adequate financial resources","Resistance to change from staff, Integration with existing systems","Increased efficiency and productivity, Improved data insights and decision-making, 24/7 availability of support","Training and development needs, Data management and quality",Yes,Adopting and AI integrated system would be a great idea but it has to be boost into the employees knowledge system so that they can have seamless experience with the air integrate system and have much of the work done with higher efficiency,Positive,Somewhat Familiar,Within the next 6 months,"Training and skill development programs, Continuous feedback and adjustment mechanisms",We are in the planning stages and are gathering information.,Collaboration between AI and human intelligence can push boundaries far beyond our capabilities.,Adopting to AI program should be involving multiple courses provided by the organisation which could help an employee to have better knowledge through which she can adopt in effective way which could also help him to lead a very Good career ahead.,When it comes to adopting a systems most of the systems are old fashion so this might cause a bit of delay in adopting AI because the integration between the old and new systems will take time depending up on the use case of this scenario which the old system is working on. In order to get better AI experience s times and for adopting AI to old systems might be more comparatively.
"Yes, I agree to participate.",India,Chief Manager,More than 10 years,Finance/ Banking,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Automated Incident Routing, Machine Learning for Problem Detection",5,5,3,Not at All Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources, Strong leadership support, Effective change management strategies","High implementation costs, Resistance to change from staff","Increased efficiency and productivity, Improved data insights and decision-making","Technical issues or limitations, User acceptance and satisfaction, Training and development needs",Yes,Go for it ,Positive,Very Familiar,Within the next 6 months,"Clear communication of benefits and changes, Training and skill development programs",We have a detailed plan and are ready to implement AI soon.,Absolutely no threat it makes work easier ,Very effective,People don’t adapt to change quickly training is important to make them more adaptable 
"Yes, I agree to participate.",India,Associate service desk,5-10 years,Finance/ Banking,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Automated Incident Routing, Natural Language Processing (NLP)",5,5,5,Extremely Concerned,Strong leadership support,Data privacy and security concerns,"Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","Technical issues or limitations, User acceptance and satisfaction, Training and development needs, Data management and quality, Maintaining AI systems, Scalability",Yes,I would recommend every company should use AI tools for better growth,Highly Positive,Very Familiar,Within the next 6 months,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,It is not a human job,Very effective,Not sure
"Yes, I agree to participate.",India,Salesforce developer,1-3 years,Healthcare,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Natural Language Processing (NLP)",3,4,3,Moderately Concerned,"Strong leadership support, None of the above",Lack of technical expertise,Cost savings,User acceptance and satisfaction,Maybe,Yes,Positive,Somewhat Familiar,Within the next 6 months,Clear communication of benefits and changes,We are aware of AI but have not started planning.,The way it molds people not to use brains a lot,Lazy,Yes
"Yes, I agree to participate.",Australia,Quality analyst,1-3 years,Healthcare,Medium (51-200 employees),Maybe,Chatbots/Virtual Assistants,5,5,5,Extremely Concerned,Reliable IT infrastructure,Integration with existing systems,Cost savings,Technical issues or limitations,Maybe,Na,Highly Positive,Very Familiar,Within the next 6 months,Clear communication of benefits and changes,We have a detailed plan and are ready to implement AI soon.,Na,Na,Na
"Yes, I agree to participate.",India,Medical coder ,1-3 years,Healthcare,Medium (51-200 employees),No,Automated Incident Routing,3,0,3,Moderately Concerned,Effective change management strategies,Lack of clear strategy or vision,Increased efficiency and productivity,Technical issues or limitations,Yes,Al is very needful so adopted ,Positive,Somewhat Unfamiliar,Within the next 2-3 years,Employee involvement in planning and implementation,We are aware of AI but have not started planning.,"Not all the jobs, few jobs .",For a change ,Every phase of the modern world upgrading is important 
"Yes, I agree to participate.",India,Data Engineer,1-3 years,Finance/ Banking,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Natural Language Processing (NLP), Machine Learning for Problem Detection",3,3,3,Not at All Concerned,Reliable IT infrastructure,Data privacy and security concerns,"Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","Technical issues or limitations, User acceptance and satisfaction, Data management and quality, Maintaining AI systems",Yes,It’s for our own growth,Highly Positive,Somewhat Familiar,Within the next 6 months,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach",We have a detailed plan and are ready to implement AI soon.,"No, I don’t think it’s a threat to anyone’s job, as technology is advancing and we are entering into the realm of AI. We have to keep ourselves updated too on using AI to enhance our work",In the field of Cloud computing and data engineering ,By putting out a set of ai guidelines which might not cause further security concerns
"Yes, I agree to participate.",India,Sr. product Compliance Associate,3-5 years,Business Operations,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Chat gpt",5,5,5,Not at All Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Strong leadership support, Effective change management strategies","Lack of technical expertise, Resistance to change from staff","Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making",Technical issues or limitations,Maybe,implement slowly give time to employees to adopt,Highly Positive,Neutral,Within the next 6 months,Clear communication of benefits and changes,We are in the planning stages and are gathering information.,it is not a threat. even if you are a Doctor you have to frequently update your skills. AI is just a tool. even if AI kills jobs it creates JOBS to. For example when computers came in into existence it killed many jobs that dosent mean people doesnt have any jobs. ,in my work we have completely started using AI which is helping team to reduce time and bee cost affective,every one are not ready to change completely(and people doesn't know to much tech) it has to been introduce slow and systematic way
"Yes, I agree to participate.",UK,SAP invoicing ,1-3 years,Finance/ Banking,Large (201-1000 employees),No,"Chatbots/Virtual Assistants, Natural Language Processing (NLP)",2,1,3,Very Concerned,"Supportive organizational culture, Strong leadership support","Resistance to change from staff, Integration with existing systems, Lack of clear strategy or vision","Enhanced user experience, Cost savings, 24/7 availability of support","User acceptance and satisfaction, Data management and quality, Scalability",No,Na,Positive,Neutral,More than 3 years from now,"Training and skill development programs, Employee involvement in planning and implementation",We are aware of AI but have not started planning.,Yes,Na,NA
"Yes, I agree to participate.",India,I am DotNet Full Stack Developer,Less than 1 year,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Automated Incident Routing, Natural Language Processing (NLP), Machine Learning for Problem Detection",4,4,4,Not at All Concerned,"Reliable IT infrastructure, Supportive organizational culture, Effective change management strategies","High implementation costs, Also , unawareness of the capabiilties of AI.","Increased efficiency and productivity, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","User acceptance and satisfaction, Training and development needs",Yes,"I guess implementing AI for service desk is a better option because most of the situations can be handled without manual intervention. But at the meanwhile, there should be a special takeover of maintenance and proper feedback. At the end we require customer satisfaction and its only the factor that really do matters.  ",Positive,Very Familiar,Within the next 6 months,"Phased implementation approach, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,"I think the problem solving ability that human posseses can never be replaced by Ai, the situation tackling capacity and the skill to understand the metrics can never be handled by AI.",Yes sure,"By running a trial run, also to come out of the traditional environment and provide more room for innovation."
"Yes, I agree to participate.",India,Software engineer ,Less than 1 year,Technology,Very Large (1001+ employees),Maybe,"Chatbots/Virtual Assistants, Machine Learning for Problem Detection",4,4,4,Slightly Concerned,"Adequate financial resources, Strong leadership support","Data privacy and security concerns, Lack of clear strategy or vision","Enhanced user experience, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","Training and development needs, Data management and quality, Maintaining AI systems, Scalability",Maybe,"AI is now a very big revolution all over the world, It is always beneficial to adopt AI in service desk , As it provides extra help and can be more appropriate and rapid in addressing challenges.",Neutral,Somewhat Familiar,Within the next 2-3 years,"Clear communication of benefits and changes, Training and skill development programs",We are aware of AI but have not started planning.,"Ai can replace jobs but it takes lot of time for that to happen, anyway there are some tasks which only human can carryout ",Those are the important things and the primary requirements for implementing AI adoption ,.
"Yes, I agree to participate.",India,Full Stack developer,Less than 1 year,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Automated Incident Routing, Natural Language Processing (NLP)",4,4,4,Extremely Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources, Strong leadership support, Effective change management strategies","High implementation costs, Resistance to change from staff, Data privacy and security concerns","Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","Technical issues or limitations, User acceptance and satisfaction, Training and development needs, Maintaining AI systems",Yes,"1) Define clear objectives aligned with organizational goals for AI adoption.
2) Start with small-scale pilots to test AI capabilities and gather feedback.
3) Invest in comprehensive training to upskill employees for AI integration.
4) Prioritize data security, ethical guidelines, and ongoing performance monitoring for successful AI implementation.",Highly Positive,Very Familiar,Within the next 6 months,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,"AI can both displace and create jobs, leading to a shift in the job market. It automates routine tasks, potentially threatening some roles, but also generates new opportunities in tech and AI-related fields. The key is adapting through reskilling and embracing new job prospects.","A reliable IT infrastructure, skilled workforce, and supportive organizational culture are essential for AI adoption, providing the technical capabilities, expertise, and positive environment needed. Adequate financial resources allow for investment in AI technologies and training, while strong leadership support drives the initiative forward. Effective change management strategies facilitate smooth transitions and minimize resistance. ","The challenges of high implementation costs often stem from budget constraints and the need for significant upfront investments in technology and training. Resistance to change from staff typically arises due to fear of job security, unfamiliarity with new systems, or concerns about increased workload. Data privacy and security concerns emerge from regulatory requirements and the potential for breaches affecting reputation and legal compliance. "
"Yes, I agree to participate.",UK,ITSM Analyst,5-10 years,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Automated Incident Routing, Natural Language Processing (NLP), Machine Learning for Problem Detection",4,5,4,Moderately Concerned,"Reliable IT infrastructure, Adequate financial resources, Strong leadership support","Lack of technical expertise, Resistance to change from staff, Integration with existing systems, Data privacy and security concerns","Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support","Technical issues or limitations, User acceptance and satisfaction, Training and development needs, Data management and quality, Maintaining AI systems, Scalability",Yes,Adopting AI is necessary in todays fast paced world. Sticking to traditional systems and methods is not feasible when whole world is shifting to AI.  ,Highly Positive,Very Familiar,Within the next 6 months,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,"Even though AI makes the process faster and provides faster resolution that ultimately leads organisations reputation, Human brains are still needed for any organisation so moderately concerned. ","Well, as its a huge organisation, it has a reliable IT infrastructure and financial resources to adopt new technology which also leads to strong leadership support to train staff and once a technology is adopted the workload on the staff reduces and they can focus on the complex issues.",Gathering massive data to train AI models is extremely difficult and time consuming. 
"Yes, I agree to participate.",India,Analyst- 1,1-3 years,Technology,Very Large (1001+ employees),Maybe,Automated Incident Routing,3,2,5,Very Concerned,Effective change management strategies,Data privacy and security concerns,"Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff",Training and development needs,Maybe,-,Positive,Somewhat Familiar,Within the next year,"Clear communication of benefits and changes, Training and skill development programs, Phased implementation approach, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We are in the planning stages and are gathering information.,-,-,-
"Yes, I agree to participate.",India,Full Stack Developer,Less than 1 year,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Natural Language Processing (NLP), Machine Learning for Problem Detection",4,4,4,Not at All Concerned,"Reliable IT infrastructure, Adequate financial resources, Strong leadership support, Effective change management strategies","Lack of technical expertise, High implementation costs, Integration with existing systems","Increased efficiency and productivity, Enhanced user experience, Cost savings, 24/7 availability of support","Technical issues or limitations, Maintaining AI systems",Yes,"It's crucial to establish strong change management practices to facilitate a smooth transition and maximize the benefits of AI implementation.





",Highly Positive,Very Familiar,Within the next 6 months,"Clear communication of benefits and changes, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We are in the planning stages and are gathering information.,"I don't think that AI is a threat to human jobs, it has the potential to create new opportunities and enhance productivity across various industries.","Effective AI adoption requires a reliable IT infrastructure, a skilled workforce, supportive organizational culture, adequate financial resources, strong leadership support, and effective change management strategies to succeed and integrate smoothly within an organization."," the challenges that occurred in organization is due to Lack of technical expertise arises from a shortage of skilled AI professionals, which can be mitigated through investing in training programs and partnerships with educational institutions. Integration with existing systems is challenging due to compatibility issues, which can be eased by employing modular and flexible AI solutions."
"Yes, I agree to participate.",UK,Technology Analyst,5-10 years,Utilities,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics",5,3,3,Moderately Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources, Strong leadership support, Effective change management strategies",Resistance to change from staff,"Increased efficiency and productivity, Enhanced user experience, 24/7 availability of support, Reduced workload for IT staff","Technical issues or limitations, Data management and quality, Maintaining AI systems, Scalability",Yes,Communicating and discussing the advantages of  AI to allay employee fears,Positive,Somewhat Familiar,Within the next 2-3 years,"Clear communication of benefits and changes, Phased implementation approach, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,"AI may be a benefit as it will automate redundant human jobs, but at the same time, we may lose human ability to look at changes minutely.",My organisation has a plan in place to adopt AI technologies in our day to day. , The staff has concerns about impact of AI on jobs which need to be addressed.
"Yes, I agree to participate.",India,Project Manager,More than 10 years,Technology,Very Large (1001+ employees),Yes,"Chatbots/Virtual Assistants, Predictive Analytics, Automated Incident Routing, Natural Language Processing (NLP), Machine Learning for Problem Detection",5,5,5,Very Concerned,"Reliable IT infrastructure, Skilled workforce, Supportive organizational culture, Adequate financial resources","Lack of technical expertise, High implementation costs, Integration with existing systems, Data privacy and security concerns","Increased efficiency and productivity, Enhanced user experience, Cost savings, Improved data insights and decision-making, 24/7 availability of support, Reduced workload for IT staff","Technical issues or limitations, User acceptance and satisfaction, Training and development needs, Data management and quality, Maintaining AI systems, Scalability",Yes,AI should be adopt to constructive way not for misuse or destructive use ,Highly Positive,Very Familiar,Within the next 6 months,"Training and skill development programs, Employee involvement in planning and implementation, Continuous feedback and adjustment mechanisms",We have a detailed plan and are ready to implement AI soon.,No not at all. AI enable us to explore and expedite in resolving the issue with in Less time . AI enable to find the root cause of the incident with less time.,Reliable infra and skilled forces enable to establish the required AI and Adquate financial support and help AI to build in our IT space to reduce the human effort and to build the customer relationship better.,Data privacy is one of the major concern . There is be 24|7 monitoring 
